Team,3PA,SRS,season,Pace
Detroit Pistons,13.9,-5.19,2012,89.2
Golden State Warriors,20.5,-2.79,2012,92.3
Houston Rockets,20.2,0.57,2012,91.7
Indiana Pacers*,16.1,2.6,2012,90.7
Los Angeles Clippers*,21.8,2.82,2012,89.2
Los Angeles Lakers*,16.8,1.96,2012,90.5
Memphis Grizzlies*,12.9,2.43,2012,90.8
Miami Heat*,15.6,5.72,2012,91.2
Milwaukee Bucks,19.2,-0.23,2012,93.7
Minnesota Timberwolves,21.6,-1.83,2012,93.3
New Jersey Nets,22.4,-6.37,2012,90.1
New Orleans Hornets,11.8,-3.11,2012,88.3
New York Knicks*,23.3,2.39,2012,93.2
Oklahoma City Thunder*,20.0,6.44,2012,93.0
Orlando Magic*,27.0,0.46,2012,89.0
Philadelphia 76ers*,14.6,3.59,2012,89.7
Phoenix Suns,19.6,0.29,2012,92.6
Portland Trail Blazers,20.9,-0.22,2012,91.2
Sacramento Kings,19.7,-4.95,2012,94.7
San Antonio Spurs*,21.3,7.28,2012,92.9
Toronto Raptors,16.3,-3.67,2012,89.3
Utah Jazz*,12.8,0.92,2012,91.4
Washington Wizards,16.3,-5.14,2012,92.5
Atlanta Hawks*,23.2,-0.08,2013,92.6
Boston Celtics*,17.2,-0.62,2013,91.7
Brooklyn Nets*,21.5,1.25,2013,88.8
Charlotte Bobcats,17.1,-9.29,2013,91.5
Chicago Bulls*,15.4,-0.02,2013,89.3
Cleveland Cavaliers,19.3,-4.87,2013,92.3
Dallas Mavericks,19.9,-0.24,2013,94.1
Denver Nuggets*,18.5,5.37,2013,95.1
Detroit Pistons,17.6,-4.33,2013,90.8
Golden State Warriors*,19.9,1.32,2013,94.5
Houston Rockets*,28.9,3.69,2013,96.1
Indiana Pacers*,19.7,3.34,2013,90.2
Los Angeles Clippers*,21.4,6.43,2013,91.1
Los Angeles Lakers*,24.6,1.48,2013,94.4
Memphis Grizzlies*,13.5,4.32,2013,88.4
Miami Heat*,22.1,7.03,2013,90.7
Milwaukee Bucks*,20.4,-1.83,2013,94.7
Minnesota Timberwolves,18.0,-1.83,2013,92.8
New Orleans Hornets,18.0,-3.12,2013,88.5
New York Knicks*,28.9,3.73,2013,89.8
Oklahoma City Thunder*,19.4,9.15,2013,93.3
Orlando Magic,18.7,-7.12,2013,92.2
Philadelphia 76ers,17.5,-3.51,2013,91.0
Phoenix Suns,17.7,-5.75,2013,93.4
Portland Trail Blazers,23.2,-2.53,2013,91.4
Sacramento Kings,20.5,-4.26,2013,93.6
San Antonio Spurs*,21.5,6.67,2013,94.2
Toronto Raptors,20.3,-1.96,2013,90.4
Utah Jazz,16.9,0.3,2013,90.9
Washington Wizards,18.2,-2.78,2013,92.2
Atlanta Hawks*,25.8,-0.88,2014,94.6
Boston Celtics,21.1,-4.97,2014,93.3
Brooklyn Nets*,23.4,-1.58,2014,91.4
Charlotte Bobcats*,17.9,-0.89,2014,92.4
Chicago Bulls*,17.8,1.2,2014,90.2
Cleveland Cavaliers,20.0,-3.86,2014,93.1
Dallas Mavericks*,22.9,2.91,2014,93.5
Denver Nuggets,23.9,-1.4,2014,98.1
Detroit Pistons,19.3,-4.13,2014,94.9
Golden State Warriors*,24.8,5.15,2014,96.2
Houston Rockets*,26.6,5.06,2014,96.3
Indiana Pacers*,18.8,3.63,2014,92.5
Los Angeles Clippers*,24.0,7.27,2014,95.9
Los Angeles Lakers,24.8,-5.33,2014,98.7
Memphis Grizzlies*,14.0,2.18,2014,89.9
Miami Heat*,22.3,4.15,2014,91.2
Milwaukee Bucks,18.9,-8.41,2014,91.8
Minnesota Timberwolves,21.4,3.1,2014,97.3
New Orleans Pelicans,15.9,-1.98,2014,92.2
New York Knicks,24.9,-1.4,2014,90.3
Oklahoma City Thunder*,22.4,6.66,2014,95.4
Orlando Magic,19.5,-5.88,2014,93.6
Philadelphia 76ers,22.5,-10.66,2014,99.2
Phoenix Suns,25.1,3.02,2014,95.8
Portland Trail Blazers*,25.3,4.44,2014,94.9
Sacramento Kings,18.0,-2.08,2014,94.4
San Antonio Spurs*,21.4,8.0,2014,95.0
Toronto Raptors*,23.4,2.55,2014,91.8
Utah Jazz,19.2,-6.27,2014,91.4
Washington Wizards*,20.8,0.48,2014,93.2
Atlanta Hawks*,26.2,4.75,2015,93.9
Boston Celtics*,24.6,-0.4,2015,95.8
Brooklyn Nets*,19.9,-3.13,2015,92.7
Charlotte Hornets,19.1,-3.44,2015,93.0
Chicago Bulls*,22.3,2.54,2015,92.8
Cleveland Cavaliers*,27.5,4.08,2015,92.3
Dallas Mavericks*,25.4,3.36,2015,95.2
Denver Nuggets,24.8,-3.07,2015,96.1
Detroit Pistons,24.9,-1.39,2015,92.8
Golden State Warriors*,27.0,10.01,2015,98.3
Houston Rockets*,32.7,3.82,2015,96.5
Indiana Pacers,21.2,-0.23,2015,93.2
Los Angeles Clippers*,26.9,6.8,2015,94.7
Los Angeles Lakers,18.9,-6.17,2015,94.0
Memphis Grizzlies*,15.2,3.62,2015,92.0
Miami Heat,20.2,-2.92,2015,90.9
Milwaukee Bucks*,18.3,-0.09,2015,94.1
Minnesota Timberwolves,14.9,-8.0,2015,94.4
New Orleans Pelicans*,19.3,1.13,2015,91.4
New York Knicks,19.7,-9.5,2015,91.2
Oklahoma City Thunder,22.7,2.47,2015,95.7
Orlando Magic,19.5,-5.87,2015,93.8
Philadelphia 76ers,26.3,-9.04,2015,95.7
Phoenix Suns,25.0,-0.38,2015,96.3
Portland Trail Blazers*,27.2,4.41,2015,94.2
Sacramento Kings,16.5,-3.07,2015,95.4
San Antonio Spurs*,22.5,6.34,2015,93.8
Toronto Raptors*,25.1,2.45,2015,92.8
Utah Jazz,21.7,0.71,2015,90.4
Washington Wizards*,16.8,0.17,2015,93.7
Atlanta Hawks*,28.4,3.49,2016,97.1
Boston Celtics*,26.1,2.84,2016,98.5
Brooklyn Nets,18.4,-7.12,2016,95.2
Charlotte Hornets*,29.4,2.36,2016,95.6
Chicago Bulls,21.4,-1.46,2016,95.7
Cleveland Cavaliers*,29.6,5.45,2016,93.3
Dallas Mavericks*,28.6,-0.02,2016,94.3
Denver Nuggets,23.7,-2.81,2016,95.7
Detroit Pistons*,26.2,0.43,2016,95.1
Golden State Warriors*,31.6,10.38,2016,99.3
Houston Rockets*,30.9,0.34,2016,97.6
Indiana Pacers*,23.0,1.62,2016,96.6
Los Angeles Clippers*,26.7,4.13,2016,95.8
Los Angeles Lakers,24.6,-8.92,2016,95.6
Memphis Grizzlies*,18.5,-2.14,2016,93.3
Miami Heat*,18.0,1.5,2016,93.6
Milwaukee Bucks,15.6,-3.98,2016,94.2
Minnesota Timberwolves,16.4,-3.38,2016,95.2
New Orleans Pelicans,23.8,-3.56,2016,96.8
New York Knicks,21.5,-2.74,2016,93.4
Oklahoma City Thunder*,23.7,7.09,2016,96.7
Orlando Magic,22.2,-1.68,2016,96.0
Philadelphia 76ers,27.5,-9.92,2016,97.9
Phoenix Suns,25.8,-6.32,2016,98.5
Portland Trail Blazers*,28.5,0.98,2016,96.0
Sacramento Kings,22.4,-2.32,2016,100.0
San Antonio Spurs*,18.5,10.28,2016,93.8
Toronto Raptors*,23.4,4.08,2016,92.9
Utah Jazz,23.9,1.84,2016,91.0
Washington Wizards,24.2,-0.5,2016,98.5
Atlanta Hawks*,26.1,-1.23,2017,97.4
Boston Celtics*,33.4,2.25,2017,96.8
Brooklyn Nets,31.6,-6.74,2017,101.3
Charlotte Hornets,28.6,-0.07,2017,95.7
Chicago Bulls*,22.3,0.03,2017,95.3
Cleveland Cavaliers*,33.9,2.87,2017,96.2
Dallas Mavericks,30.2,-2.53,2017,92.2
Denver Nuggets,28.8,0.7,2017,98.3
Detroit Pistons,23.4,-1.29,2017,95.0
Golden State Warriors*,31.2,11.35,2017,99.8
Houston Rockets*,40.3,5.84,2017,100.0
Indiana Pacers*,23.0,-0.64,2017,95.9
Los Angeles Clippers*,27.4,4.42,2017,96.1
Los Angeles Lakers,25.7,-6.29,2017,98.5
Memphis Grizzlies*,26.5,0.96,2017,92.3
Miami Heat,27.0,0.77,2017,95.2
Milwaukee Bucks*,23.7,-0.45,2017,94.5
Minnesota Timberwolves,21.0,-0.64,2017,94.6
New Orleans Pelicans,26.8,-1.69,2017,98.0
New York Knicks,24.7,-3.87,2017,96.0
Oklahoma City Thunder*,25.8,1.14,2017,97.8
Orlando Magic,26.1,-6.61,2017,96.8
Philadelphia 76ers,29.8,-5.83,2017,98.5
Phoenix Suns,22.6,-5.14,2017,100.3
Portland Trail Blazers*,27.7,-0.23,2017,96.7
Sacramento Kings,23.9,-3.29,2017,94.9
San Antonio Spurs*,23.5,7.13,2017,94.2
Toronto Raptors*,24.3,3.65,2017,94.7
Utah Jazz*,26.0,4.0,2017,91.6
Washington Wizards*,24.8,1.36,2017,97.4
Atlanta Hawks,31.0,-5.3,2018,98.3
Boston Celtics*,30.4,3.23,2018,96.0
Brooklyn Nets,35.7,-3.67,2018,98.9
Charlotte Hornets,27.2,0.07,2018,98.4
Chicago Bulls,31.1,-6.84,2018,98.3
Cleveland Cavaliers*,32.1,0.59,2018,98.0
Dallas Mavericks,32.8,-2.7,2018,95.6
Denver Nuggets,30.9,1.57,2018,96.8
Detroit Pistons,28.9,-0.26,2018,96.2
Golden State Warriors*,28.9,5.79,2018,99.6
Houston Rockets*,42.3,8.21,2018,97.6
Indiana Pacers*,24.5,1.18,2018,96.0
Los Angeles Clippers,26.8,0.15,2018,98.7
Los Angeles Lakers,29.1,-1.44,2018,100.3
Memphis Grizzlies,26.2,-5.81,2018,94.9
Miami Heat*,30.6,0.15,2018,95.6
Milwaukee Bucks*,24.7,-0.45,2018,96.3
Minnesota Timberwolves*,22.5,2.35,2018,96.0
New Orleans Pelicans*,28.2,1.48,2018,100.5
New York Knicks,23.3,-3.53,2018,96.8
Oklahoma City Thunder*,30.4,3.42,2018,96.7
Orlando Magic,29.3,-4.92,2018,98.1
Philadelphia 76ers*,29.8,4.3,2018,99.8
Phoenix Suns,27.9,-8.8,2018,100.3
Portland Trail Blazers*,28.1,2.6,2018,96.5
Sacramento Kings,24.0,-6.6,2018,94.9
San Antonio Spurs*,24.1,2.89,2018,95.0
Toronto Raptors*,33.0,7.29,2018,97.4
Utah Jazz*,29.6,4.47,2018,95.7
Washington Wizards*,26.5,0.53,2018,96.6
Atlanta Hawks,37.0,-6.06,2019,103.9
Boston Celtics*,34.5,3.9,2019,99.6
Brooklyn Nets*,36.2,-0.4,2019,100.8
Charlotte Hornets,33.9,-1.32,2019,98.7
Chicago Bulls,25.9,-8.32,2019,99.0
Cleveland Cavaliers,29.1,-9.39,2019,96.6
Dallas Mavericks,36.6,-0.87,2019,99.0
Denver Nuggets*,31.4,4.19,2019,97.7
Detroit Pistons*,34.8,-0.56,2019,97.4
Golden State Warriors*,34.4,6.42,2019,100.9
Houston Rockets*,45.4,4.96,2019,97.9
Indiana Pacers*,25.4,2.76,2019,98.1
Los Angeles Clippers*,25.8,1.09,2019,101.7
Los Angeles Lakers,31.0,-1.33,2019,103.2
Memphis Grizzlies,28.9,-2.08,2019,96.6
Miami Heat,32.4,-0.45,2019,98.2
Milwaukee Bucks*,38.2,8.04,2019,103.3
Minnesota Timberwolves,28.7,-1.02,2019,100.2
New Orleans Pelicans,29.9,-1.1,2019,103.3
New York Knicks,29.5,-8.93,2019,99.6
Oklahoma City Thunder*,32.6,3.56,2019,102.8
Orlando Magic*,32.1,0.28,2019,98.1
Philadelphia 76ers*,30.2,2.25,2019,101.6
Phoenix Suns,29.3,-8.61,2019,100.5
Portland Trail Blazers*,30.7,4.43,2019,99.1
Sacramento Kings,29.9,-0.81,2019,103.1
San Antonio Spurs*,25.3,1.8,2019,98.3
Toronto Raptors*,33.8,5.49,2019,100.2
Utah Jazz*,34.0,5.28,2019,100.3
Washington Wizards,33.3,-3.3,2019,101.4
Atlanta Hawks,36.1,-7.71,2020,103.0
Boston Celtics*,34.5,5.83,2020,99.5
Brooklyn Nets*,38.1,-1.01,2020,101.4
Charlotte Hornets,34.3,-7.03,2020,95.8
Chicago Bulls,35.1,-4.0,2020,99.7
Cleveland Cavaliers,31.8,-7.77,2020,98.7
Dallas Mavericks*,41.3,4.87,2020,99.3
Denver Nuggets*,30.6,2.35,2020,97.1
Detroit Pistons,32.7,-4.38,2020,97.6
Golden State Warriors,31.3,-8.12,2020,100.3
Houston Rockets*,45.3,3.13,2020,103.7
Indiana Pacers*,28.0,1.63,2020,98.9
Los Angeles Clippers*,33.5,6.66,2020,101.5
Los Angeles Lakers*,31.6,6.28,2020,100.9
Memphis Grizzlies,31.5,-0.91,2020,102.8
Miami Heat*,35.4,2.59,2020,98.3
Milwaukee Bucks*,38.9,9.41,2020,105.1
Minnesota Timberwolves,39.7,-4.02,2020,103.4
New Orleans Pelicans,36.9,-0.55,2020,103.7
New York Knicks,28.4,-6.72,2020,98.6
Oklahoma City Thunder*,30.2,2.33,2020,98.8
Orlando Magic*,32.2,-0.93,2020,98.6
Philadelphia 76ers*,31.6,2.25,2020,99.0
Phoenix Suns,31.8,0.56,2020,101.3
Portland Trail Blazers*,34.1,-0.61,2020,100.7
Sacramento Kings,34.9,-1.59,2020,98.9
San Antonio Spurs,28.5,-0.65,2020,100.5
Toronto Raptors*,37.0,5.97,2020,100.9
Utah Jazz*,35.2,2.52,2020,98.6
Washington Wizards,32.6,-5.24,2020,102.7
Atlanta Hawks*,33.4,2.14,2021,97.6
Boston Celtics*,36.4,1.32,2021,98.3
Brooklyn Nets*,36.1,4.24,2021,99.5
Charlotte Hornets,37.0,-1.94,2021,98.3
Chicago Bulls,34.0,-0.94,2021,99.0
Cleveland Cavaliers,29.7,-8.19,2021,97.3
Dallas Mavericks*,38.1,2.26,2021,97.3
Denver Nuggets*,34.2,4.82,2021,97.1
Detroit Pistons,32.9,-4.38,2021,97.9
Golden State Warriors,38.7,1.1,2021,102.2
Houston Rockets,40.6,-7.5,2021,101.4
Indiana Pacers,34.0,-0.13,2021,101.6
Los Angeles Clippers*,34.7,6.02,2021,96.9
Los Angeles Lakers*,31.2,2.77,2021,98.7
Memphis Grizzlies*,31.4,1.07,2021,100.4
Miami Heat*,36.2,-0.06,2021,96.6
Milwaukee Bucks*,37.1,5.57,2021,102.2
Minnesota Timberwolves,37.6,-5.25,2021,101.6
New Orleans Pelicans,30.4,-0.2,2021,100.1
New York Knicks*,30.0,2.13,2021,95.9
Oklahoma City Thunder,35.1,-10.13,2021,101.0
Orlando Magic,31.8,-9.02,2021,98.7
Philadelphia 76ers*,30.1,5.28,2021,99.5
Phoenix Suns*,34.6,5.67,2021,97.2
Portland Trail Blazers*,40.8,1.81,2021,98.4
Sacramento Kings,33.3,-3.45,2021,100.0
San Antonio Spurs,28.4,-1.58,2021,98.9
Toronto Raptors,39.3,-0.54,2021,99.2
Utah Jazz*,43.0,8.97,2021,98.5
Washington Wizards*,29.0,-1.85,2021,104.1
Atlanta Hawks*,34.4,1.55,2022,97.7
Boston Celtics*,37.1,7.02,2022,96.6
Brooklyn Nets*,31.7,0.82,2022,99.0
Charlotte Hornets,38.2,0.53,2022,100.0
Chicago Bulls*,28.8,-0.38,2022,98.3
Cleveland Cavaliers,32.8,2.04,2022,96.1
Dallas Mavericks*,37.4,3.12,2022,95.4
Denver Nuggets*,35.9,2.16,2022,97.8
Detroit Pistons,34.6,-7.36,2022,98.4
Golden State Warriors*,39.4,5.52,2022,98.4
Houston Rockets,38.7,-8.26,2022,100.9
Indiana Pacers,35.4,-3.26,2022,98.0
Los Angeles Clippers,34.2,0.09,2022,98.0
Los Angeles Lakers,34.5,-3.08,2022,100.1
Memphis Grizzlies*,32.7,5.37,2022,100.3
Miami Heat*,35.8,4.23,2022,95.9
Milwaukee Bucks*,38.4,3.22,2022,99.9
Minnesota Timberwolves*,41.3,2.53,2022,100.9
New Orleans Pelicans*,32.1,-0.84,2022,97.2
New York Knicks,36.9,-0.01,2022,95.9
Oklahoma City Thunder,37.4,-7.9,2022,98.6
Orlando Magic,36.9,-7.67,2022,99.2
Philadelphia 76ers*,31.8,2.57,2022,96.2
Phoenix Suns*,31.9,6.94,2022,99.8
Portland Trail Blazers,36.8,-8.55,2022,98.3
Sacramento Kings,33.2,-5.26,2022,99.8
San Antonio Spurs,32.0,0.02,2022,100.0
Toronto Raptors*,34.2,2.38,2022,96.0
Utah Jazz*,40.3,5.67,2022,97.1
Washington Wizards,30.6,-3.23,2022,97.0
Atlanta Hawks*,30.5,0.32,2023,100.7
Boston Celtics*,42.6,6.38,2023,98.5
Brooklyn Nets*,33.8,1.03,2023,98.3
Charlotte Hornets,32.5,-5.89,2023,100.8
Chicago Bulls,28.9,1.37,2023,98.5
Cleveland Cavaliers*,31.6,5.23,2023,95.7
Dallas Mavericks,41.0,-0.14,2023,96.6
Denver Nuggets*,31.2,3.04,2023,98.1
Detroit Pistons,32.4,-7.73,2023,99.0
Golden State Warriors*,43.2,1.66,2023,101.6
Houston Rockets,31.9,-7.62,2023,99.0
Indiana Pacers,37.0,-2.91,2023,101.1
Los Angeles Clippers*,33.4,0.31,2023,98.0
Los Angeles Lakers*,31.2,0.43,2023,101.3
Memphis Grizzlies*,34.2,3.6,2023,101.1
Miami Heat*,34.8,-0.13,2023,96.3
Milwaukee Bucks*,40.3,3.61,2023,100.5
Minnesota Timberwolves*,33.3,-0.22,2023,101.0
New Orleans Pelicans,30.1,1.63,2023,99.1
New York Knicks*,35.7,2.99,2023,97.1
Oklahoma City Thunder,34.1,0.96,2023,101.1
Orlando Magic,31.1,-2.39,2023,99.3
Philadelphia 76ers*,32.6,4.37,2023,96.9
Phoenix Suns*,32.6,2.08,2023,98.2
Portland Trail Blazers,35.3,-3.96,2023,98.6
Sacramento Kings*,37.3,2.3,2023,100.3
San Antonio Spurs,32.2,-9.82,2023,101.6
Toronto Raptors,32.0,1.59,2023,97.1
Utah Jazz,37.8,-1.03,2023,100.5
Washington Wizards,31.7,-1.06,2023,98.6
Atlanta Hawks,37.7,-2.38,2024,100.1
Boston Celtics*,42.5,10.75,2024,97.2
Brooklyn Nets,36.7,-3.02,2024,96.9
Charlotte Hornets,34.0,-10.12,2024,97.3
Chicago Bulls,32.1,-1.77,2024,96.3
Cleveland Cavaliers*,36.8,1.98,2024,97.2
Dallas Mavericks*,39.5,2.3,2024,100.1
Denver Nuggets*,31.2,5.23,2024,96.8
Detroit Pistons,31.7,-9.06,2024,99.8
Golden State Warriors,38.9,2.77,2024,99.2
Houston Rockets,36.1,1.24,2024,99.0
Indiana Pacers*,35.3,2.75,2024,101.7
Los Angeles Clippers*,33.2,3.41,2024,97.2
Los Angeles Lakers*,31.4,1.07,2024,100.9
Memphis Grizzlies,37.8,-6.57,2024,98.2
Miami Heat*,33.7,1.1,2024,96.2
Milwaukee Bucks*,38.1,2.44,2024,99.9
Minnesota Timberwolves*,32.7,6.39,2024,97.1
New Orleans Pelicans*,32.6,4.46,2024,97.9
New York Knicks*,35.8,4.36,2024,95.2
Oklahoma City Thunder*,34.2,7.36,2024,99.8
Orlando Magic*,31.3,1.48,2024,96.9
Philadelphia 76ers*,33.3,2.51,2024,97.5
Phoenix Suns*,32.6,3.08,2024,98.3
Portland Trail Blazers,33.2,-8.29,2024,97.2
Sacramento Kings,39.3,2.29,2024,98.8
San Antonio Spurs,36.4,-5.8,2024,101.1
Toronto Raptors,33.1,-6.45,2024,99.4
Utah Jazz,36.5,-4.22,2024,99.5
Washington Wizards,35.5,-9.29,2024,102.7
Atlanta Hawks,37.7,-1.41,2025,102.6
Boston Celtics*,48.2,8.28,2025,95.7
Brooklyn Nets,39.4,-6.95,2025,96.4
Charlotte Hornets,38.3,-9.1,2025,97.6
Chicago Bulls,42.0,-1.83,2025,102.8
Cleveland Cavaliers*,41.5,8.81,2025,99.8
Dallas Mavericks,34.2,-0.74,2025,99.2
Denver Nuggets*,31.9,3.97,2025,99.8
Detroit Pistons*,35.4,1.73,2025,99.8
Golden State Warriors*,42.4,3.56,2025,98.7
Houston Rockets*,35.8,4.97,2025,98.6
Indiana Pacers*,35.8,1.68,2025,99.9
Los Angeles Clippers*,33.4,4.84,2025,97.5
Los Angeles Lakers*,36.4,1.45,2025,97.6
Memphis Grizzlies*,37.9,4.79,2025,103.3
Miami Heat*,37.3,0.11,2025,96.2
Milwaukee Bucks*,36.6,2.12,2025,99.3
Minnesota Timberwolves*,39.9,5.15,2025,97.3
New Orleans Pelicans,34.6,-8.59,2025,99.1
New York Knicks*,34.1,3.59,2025,96.7
Oklahoma City Thunder*,38.8,12.7,2025,100.0
Orlando Magic*,35.3,-0.7,2025,96.1
Philadelphia 76ers,37.2,-6.29,2025,97.4
Phoenix Suns,38.0,-2.55,2025,97.1
Portland Trail Blazers,37.7,-2.67,2025,98.8
Sacramento Kings,35.2,0.58,2025,98.2
San Antonio Spurs,39.6,-2.45,2025,99.3
Toronto Raptors,34.0,-4.4,2025,99.7
Utah Jazz,39.8,-8.51,2025,100.0
Washington Wizards,39.1,-12.14,2025,100.9
